Date,Open,High,Low,Close,AdjClose
2009-03-26,82.2500,83.3000,81.3200,83.1100,61.0557
2009-03-27,82.0500,82.5300,81.3100,81.6100,59.9538
2009-03-30,79.8000,79.8700,77.9600,78.7900,57.8821
2009-03-31,79.5600,81.0800,79.0500,79.5200,58.4184
2009-04-01,78.5300,81.4200,78.3300,81.0600,59.5497
2009-04-02,83.0800,84.6100,81.1300,83.4300,61.2908
2009-04-03,83.4900,84.2800,82.6700,84.2600,61.9006
2009-04-06,83.3400,84.2800,82.2900,83.6000,61.4157
2009-04-07,82.2500,82.6500,81.5100,81.6500,59.9832
2009-04-08,82.0600,82.9400,81.5400,82.5300,60.6296
2009-04-09,84.6700,85.8200,84.3300,85.8100,63.0392
2009-04-13,84.9200,86.5400,84.5800,85.8300,63.0539
2009-04-14,85.0300,85.7600,84.0800,84.3500,61.9667
2009-04-15,83.8400,85.4200,83.6100,85.2500,62.6279
2009-04-16,85.9300,87.1500,84.7700,86.5000,63.5461
2009-04-17,86.8300,87.6500,86.1400,87.0800,63.9723
2009-04-20,85.5400,87.0500,83.3400,83.4300,61.2908
2009-04-21,82.8200,85.1300,82.7500,85.0600,62.4882
2009-04-22,84.2900,86.3400,84.0700,84.5400,62.1062
2009-04-23,84.7100,85.4200,83.6300,85.3700,62.7160
2009-04-24,86.0300,87.3100,85.6900,86.6600,63.6637
2009-04-27,85.6800,87.0100,85.5400,85.8400,63.0613
2009-04-28,84.9700,86.5900,84.7600,85.5700,62.8629
2009-04-29,86.5200,88.3600,86.3000,87.3900,64.2000
2009-04-30,88.5500,89.0200,86.9200,87.4200,64.2220
2009-05-01,87.4400,88.2100,86.7200,87.8900,64.5673
2009-05-04,88.5500,90.9400,88.3800,90.8800,66.7639
2009-05-05,90.5700,90.9300,89.8400,90.5700,66.5361
2009-05-06,91.6800,92.2000,90.6100,92.1400,67.6895
2009-05-07,93.0100,93.1500,90.2800,90.8600,66.7492
2009-05-08,92.0300,93.2200,91.4400,92.9800,68.3066
2009-05-11,91.7000,92.1100,91.0400,91.2400,67.0283
2009-05-12,91.6300,91.8300,89.8500,90.9700,66.8300
2009-05-13,89.7400,90.0100,88.5000,88.6800,65.1477
2009-05-14,88.7200,90.1200,88.5000,89.4400,65.7060
2009-05-15,89.3700,90.0000,88.1500,88.7100,65.1697
2009-05-18,89.5500,91.3400,88.5700,91.2300,67.0210
2009-05-19,91.1800,91.9700,90.8100,91.1200,66.9402
2009-05-20,91.9500,92.8000,90.4100,90.5100,66.4921
2009-05-21,89.4600,89.8000,88.2600,89.2100,65.5370
2009-05-22,89.4600,90.0000,88.6800,89.0200,65.3974
2009-05-26,88.3600,91.5600,88.3200,91.3000,67.0724
2009-05-27,91.4400,91.7500,89.5300,89.6700,65.8749
2009-05-28,90.4600,91.3400,89.1000,90.9200,66.7933
2009-05-29,91.4200,93.7000,90.6800,92.5300,67.9760
2009-06-01,93.6700,95.1700,93.4300,94.7700,69.6216
2009-06-02,94.4000,95.3700,94.2300,94.8500,69.6804
2009-06-03,94.0400,94.1300,92.7600,93.6500,68.7988
2009-06-04,94.0000,94.6700,93.3000,94.5300,69.4453
2009-06-05,95.4900,95.6700,93.8000,94.5500,69.4600
2009-06-08,93.8400,95.1000,93.0400,94.1600,69.1734
2009-06-09,94.6900,95.1400,94.0200,94.6400,69.5261
2009-06-10,95.4800,95.4900,93.1900,94.4000,69.3498
2009-06-11,94.5800,96.1100,94.5600,94.8200,69.6583
2009-06-12,94.4000,95.1400,94.0000,95.0800,69.8493
2009-06-15,93.9600,94.0200,92.4000,92.9000,68.2478
2009-06-16,93.2300,93.2900,91.5800,91.6400,67.3222
